Program Title	Video Path	Status	Error
9 to 5 Exit Strategy Final Export Lesson 1 - 9 to 5 Exit Strategy	E:\Business Psychology - Final Exports\9 to 5 Exit Strategy Final Export\Final Export\Lesson 1 - 9 to 5 Exit Strategy.mp4	pending	
9 to 5 Exit Strategy Final Export Lesson 2 - 9 to 5 Exit Strategy	E:\Business Psychology - Final Exports\9 to 5 Exit Strategy Final Export\Final Export\Lesson 2 - 9 to 5 Exit Strategy.mp4	pending	
9 to 5 Exit Strategy Final Export Lesson 3 - 9 to 5 Exit Strategy	E:\Business Psychology - Final Exports\9 to 5 Exit Strategy Final Export\Final Export\Lesson 3 - 9 to 5 Exit Strategy.mp4	pending	
9 to 5 Exit Strategy Final Export Lesson 4 - 9 to 5 Exit Strategy	E:\Business Psychology - Final Exports\9 to 5 Exit Strategy Final Export\Final Export\Lesson 4 - 9 to 5 Exit Strategy.mp4	pending	
9 to 5 Exit Strategy Final Export Lesson 5 - 9 to 5 Exit Strategy	E:\Business Psychology - Final Exports\9 to 5 Exit Strategy Final Export\Final Export\Lesson 5 - 9 to 5 Exit Strategy.mp4	pending	
9 to 5 Exit Strategy Final Export Lesson 6 - 9 to 5 Exit Strategy	E:\Business Psychology - Final Exports\9 to 5 Exit Strategy Final Export\Final Export\Lesson 6 - 9 to 5 Exit Strategy.mp4	pending	
Businees Rules Rule 1 - Buisness is Money	E:\Business Psychology - Final Exports\Businees Rules\Rule 1 - Buisness is Money.mp4	pending	
Businees Rules Rule 10 - Prioritize Refunds and Complaints	E:\Business Psychology - Final Exports\Businees Rules\Rule 10 - Prioritize Refunds and Complaints.mp4	pending	
Businees Rules Rule 11 - Optimise Everything	E:\Business Psychology - Final Exports\Businees Rules\Rule 11 - Optimise Everything.mp4	pending	
Businees Rules Rule 12 - Only Take Calculated Risk	E:\Business Psychology - Final Exports\Businees Rules\Rule 12 - Only Take Calculated Risk.mp4	pending	
Businees Rules Rule 13 - Learn from Competitors	E:\Business Psychology - Final Exports\Businees Rules\Rule 13 - Learn from Competitors.mp4	pending	
Businees Rules Rule 2 - Speed is Everything	E:\Business Psychology - Final Exports\Businees Rules\Rule 2 - Speed is Everything.mp4	pending	
Businees Rules Rule 3 - No Money In	E:\Business Psychology - Final Exports\Businees Rules\Rule 3 - No Money In.mp4	pending	
Businees Rules Rule 4 - Start dirt cheap or Die Trying	E:\Business Psychology - Final Exports\Businees Rules\Rule 4 - Start dirt cheap or Die Trying.mp4	pending	
Businees Rules Rule 5 - Don't get legal too quick	E:\Business Psychology - Final Exports\Businees Rules\Rule 5 - Don't get legal too quick.mp4	pending	
Businees Rules Rule 6 - Control your Reputation	E:\Business Psychology - Final Exports\Businees Rules\Rule 6 - Control your Reputation.mp4	pending	
Businees Rules Rule 7 - Avoid Price Wars	E:\Business Psychology - Final Exports\Businees Rules\Rule 7 - Avoid Price Wars.mp4	pending	
Businees Rules Rule 8 - Find Rich Mentors	E:\Business Psychology - Final Exports\Businees Rules\Rule 8 - Find Rich Mentors.mp4	pending	
Businees Rules Rule 9 - Avoid Complacency	E:\Business Psychology - Final Exports\Businees Rules\Rule 9 - Avoid Complacency.mp4	pending	
Business WarFare Chapter 01	E:\Business Psychology - Final Exports\Business WarFare\Chapter 01.mp4	pending	
Business WarFare Chapter 02	E:\Business Psychology - Final Exports\Business WarFare\Chapter 02.mp4	pending	
Business WarFare Chapter 03	E:\Business Psychology - Final Exports\Business WarFare\Chapter 03.mp4	pending	
Business WarFare Chapter 04	E:\Business Psychology - Final Exports\Business WarFare\Chapter 04.mp4	pending	
Business WarFare Chapter 05	E:\Business Psychology - Final Exports\Business WarFare\Chapter 05.mp4	pending	
Business WarFare Chapter 06	E:\Business Psychology - Final Exports\Business WarFare\Chapter 06.mp4	pending	
Business WarFare Chapter 07	E:\Business Psychology - Final Exports\Business WarFare\Chapter 07.mp4	pending	
Business WarFare Chapter 08	E:\Business Psychology - Final Exports\Business WarFare\Chapter 08.mp4	pending	
Business WarFare Chapter 09	E:\Business Psychology - Final Exports\Business WarFare\Chapter 09.mp4	pending	
Compound Effect Lesson 1	E:\Business Psychology - Final Exports\Compound Effect\Lesson 1.mp4	pending	
Compound Effect Lesson 2	E:\Business Psychology - Final Exports\Compound Effect\Lesson 2.mp4	pending	
Compound Effect Lesson 3	E:\Business Psychology - Final Exports\Compound Effect\Lesson 3.mp4	pending	
Compound Effect Lesson 4	E:\Business Psychology - Final Exports\Compound Effect\Lesson 4.mp4	pending	
Compound Effect Lesson 5	E:\Business Psychology - Final Exports\Compound Effect\Lesson 5.mp4	pending	
Compound Effect Lesson 6	E:\Business Psychology - Final Exports\Compound Effect\Lesson 6.mp4	pending	
Compound Effect Lesson 7	E:\Business Psychology - Final Exports\Compound Effect\Lesson 7.mp4	pending	
For Social Media (Horizontal) Lesson 1 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Horizontal\9 to 5 Exit Strategy\Lesson 1 Viral Cut.mp4	pending	
For Social Media (Horizontal) Lesson 2.1 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Horizontal\9 to 5 Exit Strategy\Lesson 2.1 Viral Cut.mp4	pending	
For Social Media (Horizontal) Lesson 2.2 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Horizontal\9 to 5 Exit Strategy\Lesson 2.2 Viral Cut.mp4	pending	
For Social Media (Horizontal) Lesson 2.3 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Horizontal\9 to 5 Exit Strategy\Lesson 2.3 Viral Cut.mp4	pending	
For Social Media (Horizontal) Lesson 3 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Horizontal\9 to 5 Exit Strategy\Lesson 3 Viral Cut.mp4	pending	
For Social Media (Horizontal) Lesson 5 Viral Cut	E:\Business Psychology - Final Exports\For Social Media\Horizontal\9 to 5 Exit Strategy\Lesson 5 Viral Cut.mp4	pending	
For Social Media (Horizontal) Chapter 02	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Business Warfare\Chapter 02.mp4	pending	
For Social Media (Horizontal) Chapter 03	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Business Warfare\Chapter 03.mp4	pending	
For Social Media (Horizontal) Chapter 05	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Business Warfare\Chapter 05.mp4	pending	
For Social Media (Horizontal) Chapter 07	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Business Warfare\Chapter 07.mp4	pending	
For Social Media (Horizontal) Chapter 08	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Business Warfare\Chapter 08.mp4	pending	
For Social Media (Horizontal) Lesson 1.1 Viral Cuts	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Compound Effect\Lesson 1.1 Viral Cuts.mp4	pending	
For Social Media (Horizontal) Lesson 1.2. Viral Cuts	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Compound Effect\Lesson 1.2. Viral Cuts.mp4	pending	
For Social Media (Horizontal) Lesson 2.1 Viral Cuts	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Compound Effect\Lesson 2.1 Viral Cuts.mp4	pending	
For Social Media (Horizontal) Lesson 2.3 Viral Cuts	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Compound Effect\Lesson 2.3 Viral Cuts.mp4	pending	
For Social Media (Horizontal) Lesson 3 Viral Cuts	E:\Business Psychology - Final Exports\For Social Media\Horizontal\Compound Effect\Lesson 3 Viral Cuts.mp4	pending	
